t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
9.040000000000013,"[0.9912674510246742, -0.2573963414320294, -0.0018316411933427404]","[0.9892723329629806, 0.14608302856246438, 0.0]","[1.0829478079996144, -0.029639512746086224, 0.0010771991513414277]","[-0.6119111591279813, 4.143854258181514, 0.0]","[-0.9765789062237606, 0.2151327978137193, -0.003393995672365016, -4.125564802612017e-06]","[[0.9998752650976548, -0.0034041515646753614, 0.015422904979916455], [-0.0033880313391908973, 0.907536382467582, 0.4199598025303132], [-0.015426454211498953, -0.4199596721707689, 0.9074116476333556]]","[-0.008827512492210698, -1.7597274201266524, -0.38768549509641026]",[10.809555720144987],"[0.9758872172142212, -0.21508942679023174, -0.03715747247772292, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[52.01397211589426, 50.17931981560138, 51.958713822806615, 53.72550926324699]"
9.045000000000014,"[0.9966821900646723, -0.2575445389957598, -0.0018262551975860332]","[0.9859960370704962, 0.1667687467161536, 0.0]","[1.0833059951623025, -0.006929274202909001, 0.001070824891800723]","[-0.6985592927091268, 4.130130542039093, 0.0]","[-0.9765791845385011, 0.21515543792077502, 0.0011107845087601966, -4.124440603631432e-06]","[[0.9999769615527114, -0.0014683774486520635, 0.006627234074295716], [-0.0014522616904021032, 0.9074357585756422, 0.4201883327678572], [-0.006630784251489908, -0.4201882767592609, 0.9074127201964347]]","[0.028023129293193817, -1.7595302281951746, -0.387683922642317]",[10.809552180366712],"[0.9758875248362869, -0.2142629358093601, -0.04165252942210927, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.97690489242263, 50.179062161453324, 51.99587061979755, 53.72564282776933]"
9.050000000000015,"[1.0020987200404838, -0.2575791853667743, -0.0018209010731270296]","[0.9822872507286778, 0.18738131458578147, 0.0]","[1.083188640605169, 0.015783350905176213, 0.0010644923875240916]","[-0.7849010150969187, 4.114595214138839, 0.0]","[-0.9765794664369635, 0.21508374374550418, 0.005615059493185269, -4.123337282855985e-06]","[[0.9999975322815283, 0.00046992696915308234, -0.0021713128511745695], [0.00048603834051856983, 0.9074162750322172, 0.4202326350646597], [0.0021677632678775596, -0.4202326533901186, 0.9074138073817895]]","[0.06486163168563303, -1.7585613909087927, -0.3876823122100654]",[10.809548432425057],"[0.9758878346375794, -0.21334249866461885, -0.04612930164129535, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.93981349317502, 50.17961032244688, 52.032995287313845, 53.7250250445452]"
9.055000000000016,"[1.0075146632435097, -0.25750026861224845, -0.0018155786111894092]","[0.9781476007337924, 0.2079116908178216, 0.0]","[1.0825957977678438, 0.03848840395485863, 0.0010582014815269567]","[-0.8708984539582676, 4.0972550887890185, 0.0]","[-0.9765797517597397, 0.2149177463642015, 0.010116853939096587, -4.122255150884887e-06]","[[0.9999369421797722, 0.0024073625012487805, -0.0109688773333724], [0.002423469567343305, 0.9074779663188328, 0.4200926891069299], [0.010965329882094312, -0.4200927817180665, 0.9074149085666127]]","[0.10167183945262503, -1.75682132850412, -0.3876806647744371]",[10.809544483123865],"[0.9758881464610153, -0.21232851864630478, -0.050585825745458474, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.90271416998477, 50.180964045068635, 52.07007165597013, 53.72365615036258]"
9.060000000000016,"[1.012927642232349, -0.25730782659247414, -0.0018102876037817744]","[0.9735789028731461, 0.22835087011071645, 0.0]","[1.0815277286352831, 0.06117592961742154, 0.0010519520140489444]","[-0.9565138879742184, 4.078117771941715, 0.0]","[-0.976580040347526, 0.21465751820944395, 0.014614193580312542, -4.121194504794977e-06]","[[0.9997952984987639, 0.004340531475948983, -0.019761601308438913], [0.00435663431959675, 0.9076207245614795, 0.4197685553777226], [0.019758057525291046, -0.4197687221947357, 0.9074160231282155]]","[0.13843760954621503, -1.7543107993886742, -0.3876789813177943]",[10.809540339269995],"[0.9758884601502469, -0.21122144007275037, -0.055020147211484745, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.86562321346012, 50.18312268351985, 52.10708361130061, 53.72153667948362]"
9.065000000000017,"[1.0183352808755255, -0.25700194694438705, -0.0018050278437115297]","[0.9685831611286142, 0.2486898871649208, 0.0]","[1.0799849036232243, 0.08383598022530897, 0.001045743822575946]","[-1.041709763385853, 4.057191657856578, 0.0]","[-0.9765803320411971, 0.21430317303890567, 0.019105106091992726, -4.1201556281568946e-06]","[[0.9995728506580257, 0.006266043696573009, -0.028545628803385258], [0.006282142401756099, 0.9078442997183559, 0.4192603751318884], [0.02854209022184743, -0.4192606160436255, 0.9074171504443187]]","[0.1751428181805427, -1.7510308998188, -0.38767726282953824]",[10.809536007670255],"[0.9758887755497266, -0.21002174809608284, -0.05943032124026254, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.828556945955995, 50.1860852001221, 52.144015100478654, 53.71866746352883]"
9.070000000000018,"[1.0237352053936417, -0.2565827670432605, -0.00179979912459865]","[0.9631625667976402, 0.2689198206153301, 0.0]","[1.0779680013722266, 0.10645862013534521, 0.0010395767418627218]","[-1.126448710466408, 4.034485925418873, 0.0]","[-0.9765806266818802, 0.21385486588605418, 0.02358762195552291, -4.1191387910699165e-06]","[[0.9992699898084761, 0.008180522387615125, -0.03731710762685018], [0.008196617039420753, 0.9081483000169623, 0.4185683703356125], [0.03731357577715206, -0.4185686851996541, 0.9074182898933412]]","[0.211771367902563, -1.7469830634291459, -0.38767551030554687]",[10.809531495128104],"[0.9758890925047748, -0.20872996849004005, -0.06381441360973092, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.791531714486624, 50.18985016587523, 52.1808501390042, 53.71504963130174]"
9.075000000000019,"[1.0291250454005028, -0.2560504739425838, -0.0017946012408893363]","[0.9573194975320463, 0.2890317969445411, 0.0]","[1.075477908450387, 0.12903393008669484, 0.0010334506039580368]","[-1.2106935599131028, 4.010010534113264, 0.0]","[-0.9765809241110249, 0.21331279299274417, 0.028059775322195585, -4.118144250161087e-06]","[[0.9988872481470321, 0.010080610117454652, -0.046072191058267147], [0.010096700802022544, 0.908532192639781, 0.4176928435705673], [0.04606866746677222, -0.4176932322133216, 0.9074194408546823]]","[0.24830719465003095, -1.742169060614625, -0.38767372474764605]",[10.809526808440816],"[0.9758894108616385, -0.20734666742000524, -0.06817050152332715, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.75456388353782, 50.19441576146958, 52.21757281720788, 53.7106846084645]"
9.08000000000002,"[1.0345024349427547, -0.2554053042921503, -0.0017894339878695461]","[0.9510565162951293, 0.30901699437502206, 0.0]","[1.072515718964858, 0.15155201155165082, 0.0010273652382304706]","[-1.2944073591506235, 3.983776219655306, 0.0]","[-0.9765812241704755, 0.21267719172374322, 0.03251960487530855, -4.117172248639693e-06]","[[0.9984252979838175, 0.011962974687217945, -0.05480703953469889], [0.011979061491687726, 0.9089953046573511, 0.4166341779027109], [0.05480352572329109, -0.4166346401195205, 0.9074206027090052]]","[0.28473427479689867, -1.7365909977642215, -0.38767190716305694]",[10.809521954396272],"[0.9758897304675568, -0.2058724511952768, -0.07249667445343771, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.71766982783241, 50.1997797783127, 52.25416730677775, 53.705574117215896]"
9.08500000000002,"[1.039865013537579, -0.25464754423439206, -0.0017842971616783938]","[0.9443763702374534, 0.32886664673866284, 0.0]","[1.0690827340823421, 0.17400299107734346, 0.0010213204713960585]","[-1.377553388539857, 3.95579448928237, 0.0]","[-0.9765815267025408, 0.21194834046322042, 0.036965154690302114, -4.116223016316653e-06]","[[0.9978849505636056, 0.013824314975463355, -0.06351782233460138], [0.013840397987922142, 0.9095368242071022, 0.4153928367157949], [0.06351431982007463, -0.41539337227105383, 0.907421774838512]]","[0.3210366321802999, -1.7302513163477116, -0.3876700585638628]",[10.80951693977007],"[0.9758900511708203, -0.20430796600375245, -0.07679103497950245, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.680865925013634, 50.20593961999162, 52.29061786711202, 53.69972017580963]"
