t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0.10500000000000002,"[0.9267092524663321, -0.00012961653851645873, 0.16675375203065582]","[0, 0, 0]","[-2.240919869375421, -0.004449002098405755, 1.1351695239259476]","[0, 0, 0]","[0.3032633189491515, -0.0032380803893352003, -0.9528950089886274, 0.003460644434346344]","[[-0.7217323912023922, 0.0036197228549740604, -0.6921627359918551], [0.008937359399094777, 0.9999516972477146, -0.004089838430394071], [0.6921144985450375, -0.009137876004219713, -0.7217298803055635]]","[-0.15351560310374374, -30.73800077700019, -0.015101908412643094]",[0.0],"[0.5684184228577398, -0.0027285487600528817, 0.8227351041359446, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[101.86244846167969, 89.48778612611167, 0.0, 89.13715760693798]"
0.11000000000000003,"[0.915504653119455, -0.0001518615490084875, 0.17242959965028556]","[0, 0, 0]","[-2.2938603110856834, -0.0048732080820554306, 1.0113737609668827]","[0, 0, 0]","[0.2293607625038925, -0.003043586534226282, -0.9733310526611099, 0.003322518661708641]","[[-0.8160417484306748, 0.004072128249677365, -0.5779786177617], [0.00827007431712849, 0.9999550775509825, -0.004631279606957899], [0.5779337943821908, -0.008559243630533713, -0.8160387666400883]]","[-0.1556234071130188, -31.248341457485903, -0.0313266204558547]",[0.0],"[0.6175666784277786, -0.0027401593759351643, 0.786513756537211, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[71.43813270835909, 81.35367498323501, 0.0, 81.22402596021135]"
0.11500000000000003,"[0.9040353515640265, -0.00017622758941876466, 0.17748646845511998]","[0, 0, 0]","[-2.317971513266179, -0.005147075168074717, 0.9140069145647065]","[0, 0, 0]","[0.1528566513801031, -0.0027885390487091743, -0.9882394043288957, 0.0031540308345060658]","[[-0.8947687544092834, 0.0044007237430814805, -0.4465081295602541], [0.007448945397813107, 0.9999593949015028, -0.005071662516500669], [0.4464676800680202, -0.007863979829447549, -0.8947652029867513]]","[-0.15484211473476975, -31.31124468393026, -0.05041027924896845]",[0.0],"[0.6536183477482839, -0.002759135223782223, 0.756819293265982, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[25.080515633525977, 71.28481162638337, 0.0, 71.3395913388313]"
0.12000000000000004,"[0.8924454939976956, -0.00020196296525913825, 0.18205650302794352]","[0, 0, 0]","[-2.3283702593168814, -0.005332288811430318, 0.8321484502282609]","[0, 0, 0]","[0.07526819933229724, -0.0024687233694347596, -0.9971558722028387, 0.002961436407331472]","[[-0.953254136357671, 0.0045472591534640614, -0.30213552249145126], [0.006475717520312819, 0.9999645522789378, -0.0053813816237978035], [0.3021003419388798, -0.007086368588711174, -0.9532497924367134]]","[-0.15145654518498036, -31.31124468393026, -0.06417727488715477]",[0.0],"[0.6790037271639083, -0.0027639113685273705, 0.73412962022484, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[0.0, 58.52197076139553, 0.0, 58.81051570336318]"
0.12500000000000003,"[0.8808036427011111, -0.00022862440931628985, 0.18621724527908481]","[0, 0, 0]","[-2.3347572549375806, -0.005567750291896685, 0.7410361393378335]","[0, 0, 0]","[-0.0027792369765266734, -0.0020989993806007764, -0.999990135524166, 0.0027566098361442876]","[[-0.9886572071483974, 0.0044776000377186025, -0.1501228758431997], [0.005369207980986392, 0.9999702705986611, -0.0055343946821178784], [0.1500936319741362, -0.006277660132785543, -0.9886518561273578]]","[-0.14543898137307978, -30.880498243242485, -0.06396546486851161]",[0.0],"[0.6988855106077306, -0.002756588150259408, 0.715228246285297, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[0.0, 45.504855562001104, 65.63127613324116, 46.16132058160369]"
0.13000000000000003,"[0.8691298564264232, -0.0002564631607757733, 0.189922425975774]","[0, 0, 0]","[-2.3344140290588253, -0.005909613973902851, 0.630110380401121]","[0, 0, 0]","[-0.07974275546033247, -0.001720144480943303, -0.9968107353644696, 0.0025479239988126716]","[[-0.9999757400868571, 0.004213279894117161, 0.005546846876944114], [0.0041826348061712836, 0.9999759906076232, -0.005524832520650895], [-0.005569991366298613, -0.005501498053881807, -0.9999693538880793]]","[-0.1372772584618035, -29.96238028094916, -0.05199180847528282]",[0.0],"[0.7200487189960221, -0.0027663941272040474, 0.6939179989996807, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[0.0, 39.450818731720275, 95.81847224274273, 40.4720190714006]"
0.13500000000000004,"[0.857457786281129, -0.00028601123064528756, 0.1930729778777796]","[0, 0, 0]","[-2.322954962308302, -0.00629554729563082, 0.5098940054178933]","[0, 0, 0]","[-0.1539786847293097, -0.001368523615265378, -0.9880704546066528, 0.0023384878766168414]","[[-0.9872762681091168, 0.003835673930702118, 0.15896810382599733], [0.003022960009226793, 0.999981098372522, -0.005353934111219083], [-0.158985635015615, -0.0048052578684178735, -0.9872692020697799]]","[-0.12821576420453298, -28.932772639207265, -0.039641127852971844]",[0.7398248091121985],"[0.7447133814708674, -0.0028084023050333035, 0.6673785225302951, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[0.0, 44.8894261697048, 101.46958370575366, 45.887640214093416]"
0.14000000000000004,"[0.8458430114695875, -0.00031748896712344165, 0.19562244790486907]","[0, 0, 0]","[-2.2990106122860663, -0.0066923646403421995, 0.38588381848518033]","[0, 0, 0]","[-0.2248604662631647, -0.0010493579152633505, -0.9743880801434142, 0.002130454014825934]","[[-0.9525773835842928, 0.0034245500763441994, 0.30427717748868066], [0.0019842409263566094, 0.999985317235131, -0.005042628491281022], [-0.3042899785922133, -0.004199734626082772, -0.9525701922469658]]","[-0.11946323628179276, -27.904917942950227, -0.03000396397124159]",[1.8103819181159404],"[0.7701923785055172, -0.002864387892048935, 0.6378052174245816, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[0.0, 51.828755254577736, 101.38316903002377, 52.66635691279891]"
0.14500000000000005,"[0.8343479584081572, -0.00035095079032515265, 0.19755186699729496]","[0, 0, 0]","[-2.2629064449870175, -0.007073321669844023, 0.262774130729631]","[0, 0, 0]","[-0.2921261608353002, -0.0007586435244984224, -0.9563775539030591, 0.0019248392224286953]","[[-0.8988733391197556, 0.0030030734551254844, 0.4381982448270689], [0.001086853922621522, 0.9999887200273128, -0.00462369621488626], [-0.43820718726220315, -0.003679859774474022, -0.8988664637552057]]","[-0.11134136374025534, -26.916311083991324, -0.02341661513712818]",[2.7765156106141147],"[0.7953222776568885, -0.002924116603400361, 0.6061797787824575, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[0.0, 57.05775778593543, 99.4287110928681, 57.765097151946776]"
0.15000000000000005,"[0.8230334261832222, -0.00038631739867437277, 0.19886573765094312]","[0, 0, 0]","[-2.2156154098696144, -0.007422440821139225, 0.1435346640718599]","[0, 0, 0]","[-0.3556772818238526, -0.0004907077313840736, -0.934607116425856, 0.0017228831836790441]","[[-0.8293234612312622, 0.0025756910610349928, 0.5587628857278886], [0.000326507491941795, 0.9999914389079413, -0.004124985294914616], [-0.5587687267951358, -0.0032385068138974745, -0.8293172022991923]]","[-0.10382928370991572, -25.968066229437113, -0.01934091994780751]",[3.663909305021165],"[0.819278610818862, -0.0029799185658765047, 0.5733878948321603, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[0.0, 60.70205989329517, 97.37786476167012, 61.31770442207202]"
