t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
2.029999999999979,"[-0.3609616963367555, 0.13111172105439692, 0.05641960750010447]","[-0.4539904997395865, 0.8090169943749999, 0.0]","[1.1669504097900574, -0.0967348540518681, 6.55665052111521]","[1.8661197004604593, -2.4621091073203063, 0.0]","[0.9912628181710134, 0.04803265484605802, 0.12273958558985157, -0.005087583840258364]","[[0.9739705447662024, 0.0231061179812009, 0.2254938696276822], [0.008908621409864106, 0.9901205569536873, -0.13993541068041399], [-0.22649947989433228, 0.13830180768724332, 0.9641424145830522]]","[-17.848292247894566, 3.368499215475491, -2.5049640870250327]",[0.0],"[0.14679241586200317, -0.4366596333139467, 0.8875699134600757, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[0.0, 456.82439823695967, 0.0, 342.904387917265]"
2.034999999999979,"[-0.3551269442878052, 0.13062804678413759, 0.08920286010568051]","[-0.4446351791849672, 0.7965299180242499, 0.0]","[1.516426144511278, -0.23557047502402556, 7.896686436066045]","[1.8759743238013729, -2.5325388501577417, 0.0]","[0.9912997036589245, 0.0030727553755606927, 0.13147701390721522, -0.005408374448222883]","[[0.9698182212397999, 0.021877281691522702, 0.2428456347086781], [0.001704750910819449, 0.9953339611182158, -0.096474865478292], [-0.24382311534307616, 0.09397707374946425, 0.9652557163953421]]","[-28.470868915625843, 3.368499215475491, -3.080598456801468]",[0.0],"[0.09363711960604136, -0.7099255757057237, 0.6980241878264541, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[0.0, 443.87101255067915, 0.0, 301.3232634654225]"
2.0399999999999787,"[-0.34754481356524886, 0.12945019440901745, 0.12868629228601075]","[-0.4352310993723672, 0.7836934573258946, 0.0]","[1.7986070188496996, -0.24370590886838045, 8.892860408281688]","[1.8856232254173726, -2.601857737754306, 0.0]","[0.9878063576198662, -0.06827501588980062, 0.13987066970063863, -0.0036493572742252517]","[[0.9653690885997396, 0.011530633378091817, 0.2606330126250479], [-0.00991464657310756, 0.9999226153204597, -0.007514196831508221], [-0.2606994870716832, 0.00466988914133051, 0.9654087059768879]]","[-36.11608338646667, 3.368499215475491, -3.513668498844642]",[0.0],"[0.06916063490856922, -0.908362035513967, 0.41242601641502435, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[0.0, 382.7448012253043, 0.0, 264.6534302755009]"
2.0449999999999786,"[-0.3385517784710004, 0.12823166486467555, 0.1731505943274192]","[-0.4257792915651131, 0.7705132427758463, 0.0]","[2.081532047113112, -0.10689378403981281, 9.816315263164364]","[1.8950653471976622, -2.670035364554883, 0.0]","[0.9763880180787053, -0.1580077648820165, 0.1473088958078845, -0.0002713027626211254]","[[0.96084575589796, -0.0118896277592443, 0.27682859340144916], [-0.026309061026068344, 0.9906504087934652, 0.13386411343323937], [-0.27583195369790803, -0.1359058656169305, 0.9515494359254848]]","[-38.94414166714718, 3.368499215475491, -3.922477465847732]",[0.0],"[0.055294589430253956, -0.9889351378193418, 0.13765827823265464, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[0.0, 341.0902126332198, 0.0, 296.7523384025305]"
2.0499999999999785,"[-0.3281441182354348, 0.12769719594447648, 0.22223217064324102]","[-0.41628079226044246, 0.7569950556518158, 0.0]","[2.6511181343416133, 0.5037204025380533, 11.561984345507701]","[1.9042996537071861, -2.7370418255990727, 0.0]","[0.9551653784525788, -0.2532927889005018, 0.1532708009471738, 0.0031503132478290967]","[[0.9566000312213457, -0.046022105214293535, 0.2877470175327019], [-0.0470816922810732, 0.9500669452636008, 0.3084738461676136], [-0.28757554576018957, -0.308633707409179, 0.9066672709057025]]","[-37.872470290790176, 3.368499215475491, -4.714264768614503]",[0.0],"[0.041668422085788664, -0.9765103914162169, -0.2114029282129923, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[0.0, 438.84902735440534, 0.0, 450.8937597411142]"
2.0549999999999784,"[-0.31488852756372676, 0.13021579795716676, 0.28004209237077954]","[-0.40673664307584145, 0.7431448254774546, 0.0]","[5.500363307787881, 5.247589752302015, 19.582168131546155]","[1.9133251323001752, -2.802847729638482, 0.0]","[0.9256930977663702, -0.3439875697725476, 0.1573110217731797, 0.0042524132391327345]","[[0.9529962742069048, -0.08366291754906038, 0.2912020219279687], [-0.07162663696663296, 0.8716656772348927, 0.4848387072083725], [-0.29439382844178, -0.4829073030694555, 0.8247016493360353]]","[-37.872470290790176, 37.934565640538075, -0.8004936284524975]",[0.0],"[0.03410677450655, -0.151259866119768, -0.9879054513637373, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[897.5591640193911, 0.0, 1072.9739592207325, 0.0]"
2.0599999999999783,"[-0.28738671102478736, 0.15645374671867684, 0.3779529330285103]","[-0.39714789063482187, 0.7289686274214731, 0.0]","[6.257600635114517, 6.923734761389553, 21.40797595309154]","[1.922140793231193, -2.867424212028688, 0.0]","[0.8704308941540873, -0.42851987087856064, 0.24184699462202905, -0.015192430899295154]","[[0.9504703188206437, -0.11609893132501582, 0.2883178995244195], [-0.1003532129877538, 0.7633089376472407, 0.6381917410550495], [-0.29416900870761103, -0.6355159351684505, 0.7138515885413098]]","[-37.872470290790176, 23.424016732479046, 0.2500652561338552]",[0.0],"[0.1501189467895703, 0.7831047925773348, -0.6034991181909045, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[578.9580862954444, 0.0, 435.9896519486363, 0.0]"
2.064999999999978,"[-0.2560987078492148, 0.19107242052562462, 0.484992812793968]","[-0.387515586452145, 0.7144726796328672, 0.0]","[6.61454527340729, 7.531176156445898, 21.783073852479323]","[1.9307456697636742, -2.930742947390237, 0.0]","[0.8106965624711823, -0.5067616479306071, 0.2927173843610887, -0.01674062952420036]","[[0.8825584424713246, -0.1808245633915044, 0.43404270860925787], [-0.23372040823969506, 0.6322798206111836, 0.7386453812352445], [-0.4080016745000682, -0.753342356251234, 0.5157615029090278]]","[-37.872470290790176, 20.573387794151433, 0.5790141187344793]",[0.0],"[0.1766092860991845, 0.8122010853722101, -0.5560022994410547, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[310.62897537382776, 0.0, 260.7375518764376, 0.0]"
2.069999999999978,"[-0.22302598148217834, 0.2287283013078541, 0.5939081820563646]","[-0.3778407868185099, 0.6996633405134315, 0.0]","[6.888863608221689, 7.98422401096528, 21.909815861845455]","[1.93913881827594, -2.9927761620331004, 0.0]","[0.7433809153638995, -0.5788833021164693, 0.3347946878547834, -0.013836697137740099]","[[0.8280725684318723, -0.2695327465357788, 0.4915769725643399], [-0.32381902977127003, 0.4858247670195778, 0.8118593053653854], [-0.4576429365440217, -0.8314603985129133, 0.31501833015891617]]","[-37.872470290790176, 19.466634852378967, 0.8022290780385336]",[0.0],"[0.18822515970173473, 0.8142464827920285, -0.5491574951833649, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[247.66409617640568, 0.0, 224.20966776022672, 0.0]"
2.074999999999978,"[-0.18858166344106989, 0.2686494213626805, 0.703457261365592]","[-0.3681245526847207, 0.6845471059287558, 0.0]","[7.14331087967196, 8.405874760002895, 21.913070408711267]","[1.9473193183646742, -3.0534966461391244, 0.0]","[0.668527138643846, -0.6442808332063613, 0.371344536101891, -0.008769741550362295]","[[0.7754421255930731, -0.3670422357051267, 0.5137796288918808], [-0.4081859820405918, 0.32940533668610184, 0.8513966926340937], [-0.4817402971739588, -0.8699265034307773, 0.10561327902990125]]","[-37.872470290790176, 18.39994517316827, 1.0003274510698368]",[0.0],"[0.19783226540581186, 0.8148541787051945, -0.5448624250313903, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[234.2179362343526, 0.0, 210.2168995627428, 0.0]"
